station,dhp,codeTaxa
A12,29,BPGR
B00,16.1,APST
B00,16.6,BARU
B00,10.5,BBPA
B00,14.5,BPGR
B00,13.2,BPMA
B00,14.1,BTOC
B01,20,BBPA
B01,10.2,BPMA
B01,12.5,BTOC
B02,18.8,BABA
B02,16.4,BARU
B02,22.6,BBPA
B02,26.8,BTOC
B03,28.1,APST
B03,12.8,BABA
B03,11.2,BARU
B03,19.3,BBPA
B03,14.3,BPGR
B04,16.5,BARU
B04,23,BBPA
B04,27.5,BPGR
B04,12.2,AASA
B05,17.7,AASA
B05,15.4,BARU
B05,25.3,BBPA
B06,18.8,BARU
B06,16.5,BBPA
B07,20.9,AASA
B08,24.4,AASA
B09,13.2,AASA
B09,23.1,BBPA
B10,12,AASA
B10,21.9,BBPA
B11,18.8,AASA
B11,15,BBPA
C01,35.1,APST
C01,10.5,BARU
C01,17,BBPA
C01,16.6,BPGR
C01,11.6,BTOC
C02,29.7,APST
C02,11,BBPA
C02,20.5,BPGR
C03,13.5,APST
C03,14.2,BABA
C03,10,BBPA
C03,15.5,BPGR
C04,17,BARU
C04,11.9,BBPA
C04,27.3,BPGR
C05,13.1,BARU
C05,15.7,BBPA
C05,24.1,BPGR
C06,16.3,BABA
C06,14.5,BBPA
C06,21.1,BPGR
C07,13.8,AASA
C07,18.5,BBPA
C08,10.7,AASA
C08,35.2,BBPA
C09,17.5,AASA
C09,16.9,BBPA
C10,19,AASA
C10,17.1,BARU
C11,26.4,AASA
C11,28.3,BBPA
C11,40.5,BPGR
C12,20.6,AASA
C12,25.5,AFGR
C12,27.2,BBPA
D01,23.2,AASA
D01,14.7,BABA
D01,17,BARU
D01,11.7,BBPA
D01,10.5,BTOC
D02,11.1,BABA
D02,10.4,BARU
D02,11.7,BBPA
D02,32.8,BPGR
D03,12,AASA
D03,15.1,BABA
D03,26.8,BARU
D03,11,BBPA
D03,19.3,BPGR
D04,11.9,AASA
D04,15.9,BABA
D04,20.2,BARU
D04,14.3,BBPA
D04,30.6,BPGR
D05,12.4,AASA
D05,21.2,BBPA
D05,27,BPGR
D06,13.6,AASA
D06,21.8,BABA
D06,12.1,BBPA
D06,28.3,BPGR
D07,10,AASA
D07,10,AFGR
D07,185,BBPA
D08,32.4,AASA
D08,34,BBPA
D09,22,AASA
D09,34,BBPA
D10,13.6,AASA
D10,29.6,BBPA
D11,20.2,AASA
D11,21.4,BBPA
E01,16.9,BABA
E01,12.1,BBPA
E01,29.5,BPGR
E02,19,BARU
E02,21.9,BBPA
E02,24.1,BPGR
E03,17.5,BARU
E03,11.7,BBPA
E04,14.2,BARU
E04,13.5,BBPA
E04,46,BPGR
E05,12.7,BARU
E05,14.2,BBPA
E06,11.4,BARU
E06,24.1,BBPA
E06,18.8,BPGR
E07,19.9,BARU
E07,11.5,BBAL
E07,32,BBPA
E08,13.6,AASA
E08,20,BARU
E08,13,BBPA
E09,28.8,AASA
E09,31.8,AFGR
E09,18,BARU
E09,14.8,BBPA
E10,11.9,AASA
E10,26.7,BARU
E11,24.9,AASA
E11,24.8,BBPA
E11,26.4,BPGR
E12,10.9,AASA
E12,18.5,BARU
E12,20.8,BBPA
A01,21.9,APST
A01,12.1,BBPA
A01,22.9,BPGR
A01,11.1,BTOC
A02,17.1,BARU
A02,11.5,BBPA
A02,26.1,BPGR
A03,49.2,APST
A03,10,BABA
A03,25,BARU
A03,14.8,BBPA
A03,23.7,BPGR
A04,20.8,BARU
A04,28.3,BBPA
A05,10.3,AASA
A05,10.8,BARU
A05,23.5,BBPA
A05,35.4,BPGR
