station,dhp,codeTaxa
A01,26.8,APST
A01,11.7,BABA
A01,10.1,BARU
A01,11.7,BBPA
A01,28,BPGR
A01,17,BTOC
A02,18,APST
A02,12,BARU
A02,17.8,BBPA
A02,33.3,BPGR
A02,17.9,BPMA
A02,14.5,BTOC
A03,12.4,APST
A03,10.9,BABA
A03,24.5,BARU
A03,14.4,BBPA
A03,25.8,BPGR
A04,20,APST
A04,15.7,BABA
A04,21,BARU
A04,14.4,BBPA
A04,20.4,BPGR
A05,14.3,AASA
A05,22.5,BABA
A05,10.6,BARU
A05,18.4,BBPA
A05,32.8,BPGR
A06,12.8,AASA
A06,41.2,APST
A06,18.2,BABA
A06,14.5,BARU
A06,12.9,BBPA
A06,29.8,BPGR
A07,18.1,AASA
A07,18.3,BARU
A07,24.5,BBPA
A08,12.1,AASA
A08,10.6,BABA
A08,30.1,BARU
A08,20,BBPA
A08,34,BPTR
A09,10,AASA
A09,25.2,BBPA
A09,43.9,BPGR
A10,13,AASA
B01,17.7,BABA
B01,14.3,BARU
B01,23.1,BBPA
B01,23.7,BPGR
B01,18,BTOC
B02,28.5,BARU
B02,21.4,BBPA
B02,19.9,BTOC
B03,22.8,APST
B03,15.2,BABA
B03,10.4,BARU
B03,14.9,BBPA
B03,18,BPGR
B04,17.7,AASA
B04,18.2,BARU
B04,22.5,BBPA
B04,29.5,BPGR
B05,10.8,AASA
B05,13.9,AFGR
B05,10.8,BARU
B05,17.3,BBPA
B06,20.3,AASA
B06,14.8,BARU
B06,13.8,BBPA
B06,37.2,BPTR
B07,32.1,AASA
B08,10.5,AASA
B08,24.4,BBPA
C01,30.2,APST
C01,12.6,BARU
C01,13.6,BBPA
C01,30.1,BPGR
C01,13.4,BTOC
C02,38.5,APST
C02,11.8,BABA
C02,20.3,BARU
C02,18.2,BBPA
C02,21,BPGR
C03,20.9,APST
C03,12.8,BABA
C03,18.1,BARU
C03,14.9,BBPA
C03,21.3,BPGR
C03,11.1,BPRU
C04,11.7,AASA
C04,17.6,BARU
C04,19,BBPA
C04,31,BPGR
C05,11.1,AASA
C05,15.4,BABA
C05,12.9,BBPA
C05,31.5,BPGR
C06,22,AASA
C06,20.9,BBPA
C07,38.5,AASA
C07,19.6,AFGR
C07,14.1,BARU
C07,10.5,BBPA
C08,22,AASA
C08,15.5,BARU
C08,29.1,BBPA
D01,12.8,BARU
D01,17.8,BBPA
D01,15.1,BTOC
D02,12,BABA
D02,12.3,BARU
D02,14.1,BBPA
D02,25.6,BPGR
D03,17.4,APST
D03,12.8,BABA
D03,14.4,BARU
D03,21.1,BBPA
D03,34.3,BPGR
D04,27.9,APST
D04,12.6,BABA
D04,14.5,BARU
D04,21.3,BBPA
D04,22.5,BPGR
D05,20.1,AASA
D05,13.2,BARU
D05,17.4,BBPA
D05,20.8,BPGR
D06,22.6,AASA
D06,14,BABA
D06,25.2,BARU
D06,11.6,BBPA
D06,31,BPGR
D07,14.1,AASA
D07,11,AFGR
D07,10.4,BAPN
D07,14.2,BARU
D07,10.5,BBAL
D07,23.5,BBPA
D07,22.4,BPGR
D08,15.3,AASA
D08,12.4,AFGR
D08,11.8,BAPN
D08,11.5,BARU
D08,35.7,BBPA
