station,dhp,codeTaxa
A01,18.4,APST
A01,18.4,BABA
A01,12.1,BARU
A01,11.6,BBPA
A01,27.8,BPGR
A01,12.7,BPMA
A01,14,BTOC
A02,19.2,APST
A02,14.9,BABA
A02,15,BARU
A02,12.5,BBPA
A02,28.8,BPGR
A02,15.4,BTOC
A03,13.5,APST
A03,17.2,BABA
A03,11.2,BAPN
A03,25.7,BARU
A03,17,BBPA
A03,34.7,BPGR
A04,16.5,AASA
A04,20.3,APST
A04,17.1,BABA
A04,10.8,BAPN
A04,12.3,BARU
A04,23.2,BBPA
A04,36.4,BPGR
A04,20.2,BPTR
A05,15,AASA
A05,18.3,BABA
A05,13.5,BARU
A05,22.9,BBAL
A05,22.8,BBPA
A05,36.7,BPGR
A05,12.4,BPTR
A06,12.3,AASA
A06,42.7,APST
A06,12,BABA
A06,14.6,BARU
A06,28.7,BBPA
A06,36,BPGR
A07,17.3,AASA
A07,26.5,BABA
A07,14.5,BARU
A07,12.1,BBPA
A07,52.8,BPGR
A08,22.9,AASA
A08,12,BABA
A08,23,BARU
A08,31.5,BBPA
A08,23,BPGR
A08,34.7,BPTR
A09,14.5,AASA
A09,25.6,BBPA
A09,43.3,BPGR
A09,38.2,BPTR
A10,12.9,AASA
B01,10.3,BABA
B01,15.2,BARU
B01,16.5,BBPA
B01,26.3,BPGR
B01,12.8,BPRU
B01,23.6,BPTR
B01,6,BTOC
B02,15.8,BABA
B02,12.7,BAPN
B02,13.8,BARU
B02,20.1,BBPA
B02,35.4,BPTR
B02,25.9,BTOC
B03,24.5,APST
B03,16,BABA
B03,15.1,BBPA
B03,15,BPGR
B04,22.5,AASA
B04,17.5,BARU
B04,16,BBPA
B04,26.2,BPGR
B05,17.5,AASA
B05,14.5,AFGR
B05,12.7,BARU
B05,17.3,BBPA
B06,19.5,AASA
B06,16,BARU
B06,14.2,BBPA
B06,38.5,BPTR
B07,16.5,AASA
B08,14.6,AASA
C01,19.2,APST
C01,13,BARU
C01,13.5,BBPA
C01,31.5,BPGR
C01,14.4,BTOC
C02,10.7,APST
C02,12.5,BABA
C02,13,BARU
C02,12,BBPA
C02,27,BPGR
C02,10.6,BTOC
C03,36.7,APST
C03,12,BABA
C03,18.9,BARU
C03,13.9,BBPA
C03,22.6,BPGR
C04,10.2,BABA
C04,11.3,BAPN
C04,13.1,BARU
C04,12.9,BBPA
C04,28,BPGR
C05,12.7,AASA
C05,10.9,BAPN
C05,12.6,BARU
C05,21.9,BBPA
C05,30.6,BPGR
C06,13,AASA
C06,28.3,BBPA
C07,10.2,AASA
C07,26.8,BBPA
C08,13.8,AASA
C08,25.5,BBPA
D01,25.5,AASA
D01,14,BARU
D01,18.2,BBPA
D01,11.1,BTOC
D02,10.3,BABA
D02,10.2,BAPN
D02,10.5,BARU
D02,9,BBPA
D02,34.9,BPGR
D03,18.3,APST
D03,23.5,BABA
D03,10.5,BAPN
D03,19.1,BARU
D03,20.2,BBPA
D03,19.1,BPGR
D04,14.1,AASA
D04,29.5,APST
D04,16.3,BABA
D04,11,BAPN
D04,11.6,BARU
D04,17.2,BBPA
D04,15.6,BPGR
D04,10.4,BPTR
D05,11,AASA
D05,14.6,BARU
D05,17,BBPA
D05,32.9,BPGR
D06,12.5,AASA
D06,18.5,BABA
D06,11.6,BAPN
D06,13.3,BBPA
D06,24.3,BPGR
D07,13.3,AASA
D07,11.3,AFGR
D07,10.9,BAPN
D07,17.7,BARU
D07,10.2,BBAL
D07,24.1,BBPA
D07,46,BPGR
D08,24.7,AASA
D08,12.3,AFGR
D08,11,BAPN
D08,14.4,BARU
D08,28.4,BBPA
E01,12,BABA
E01,13,BBPA
E01,23,BPGR
E01,11.5,BTOC
E02,10,BARU
E02,11,BBPA
E02,24,BPGR
E02,26,BPRU
E03,23.5,AASA
E03,11.5,BARU
E03,16,BBPA
E03,12,BTOC
E04,21.5,BABA
E04,15,BARU
E04,17,BBPA
E04,50,BPGR
E05,11.5,AASA
E05,17,BABA
E05,14,BAPN
E05,18,BARU
E05,14.5,BBPA
E05,36,BPGR
E05,24,BPTR
E06,11.5,AASA
E06,18.5,BABA
E06,11.5,BAPN
E06,10.5,BARU
E06,13,BBPA
E06,11.5,BPGR
E07,11,BAPN
E07,17.5,BARU
E07,16,BBAL
E07,18,BBPA
E07,22.5,BPGR
E08,10,AASA
E08,27,AFGR
E08,13.5,BAPN
E08,32,BBPA
A01,26.2,APST
A01,12.1,BABA
A01,11.1,BBPA
A01,15.8,BPGR
A01,11,BTOC
A02,14,BARU
A02,12.1,BBPA
A02,27.1,BPGR
A03,17,APST
A03,11.7,BABA
A03,12.9,BAPN
A03,11.4,BARU
A03,15.9,BBPA
A03,27.8,BPGR
A04,20.2,BARU
A04,23.8,BBPA
A04,35.8,BPTR
A05,14.4,AASA
A05,24,BABA
A05,17,BARU
