station,codeTaxa,nombre
A01,THOC,29
A01,BEPA,1
A01,ABBA,16
A01,ACRU,11
A01,PISP,12
A02,ABBA,24
A02,ACRU,88
A02,THOC,6
A02,BEAL,1
A03,ACRU,31
A03,ABBA,6
A03,TSCA,1
A03,POGR,1
A04,ACRU,35
A04,ABBA,5
A05,ACRU,35
A05,ACSA,4
A05,ABBA,4
A05,POGR,1
A06,ACRU,43
A06,ABBA,12
A06,THOC,1
A06,FAGR,1
A06,ACSA,1
A07,ABBA,15
A07,ACSA,16
A07,ACRU,48
A07,POGR,8
A07,PIST,1
A07,FAGR,4
A08,ABBA,12
A08,FAGR,7
A08,ACRU,20
A08,BEAL,2
A09,FAGR,8
A09,ABBA,5
A09,ACRU,1
A10,FAGR,56
A10,ABBA,17
A11,FAGR,83
A11,ABBA,14
A11,ACRU,1
A11,ACSA,1
B00,PIST,3
B00,THOC,15
B00,ABBA,3
B00,ACRU,13
B00,PISP,1
B01,THOC,2
B01,ABBA,24
B01,ACRU,6
B02,ABBA,8
B02,ACRU,23
B02,THOC,1
B03,ABBA,20
B03,ACRU,57
B03,THOC,2
B03,FAGR,3
B04,ACRU,106
B04,FAGR,6
B04,ABBA,4
B04,POGR,5
B04,ACSA,17
B04,BEPA,1
B05,ACSA,94
B05,ACRU,30
B05,FAGR,10
B05,ABBA,4
B06,ACRU,2
B06,FAGR,16
B06,ACSA,6
B07,FAGR,8
B07,ACSA,2
B07,ABBA,2
B08,PISP,2
B08,ABBA,16
B08,FAGR,23
C01,THOC,9
C01,ACRU,74
C01,ABBA,3
C02,ABBA,15
C02,ACRU,38
C02,THOC,1
C03,ACRU,58
C03,ABBA,8
C03,PIST,1
C04,ACRU,34
C04,ABBA,1
C05,ACRU,21
C05,ABBA,10
C06,ACRU,26
C06,ACSA,2
C06,ABBA,13
C07,FAGR,1
C07,ACRU,2
C07,ACSA,1
C09,ACSA,2
C09,FAGR,4
C10,ABBA,6
C10,FAGR,4
C10,ACSA,1
D01,ACRU,78
D01,ABBA,4
D01,THOC,9
D01,BEPA,1
D02,THOC,2
D02,ACRU,31
D02,ABBA,19
D03,ACRU,42
D03,ABBA,10
D03,BEAL,1
D03,THOC,1
D04,ABBA,37
D04,ACRU,77
D04,FAGR,1
D05,ACSA,1
D05,ACRU,32
D05,ABBA,6
D06,ACSA,4
D06,ACRU,37
D06,ABBA,5
D06,FAGR,7
D07,FAGR,6
D07,ACRU,8
D08,FAGR,7
D09,FAGR,16
D09,ACRU,1
D10,ABBA,1
D10,ACSA,1
E02,ACSA,2
E02,ABBA,14
E02,BEPA,3
E02,FAGR,1
E02,POGR,1
E02,THOC,2
E02,ACRU,77
E03,ACRU,59
E03,ABBA,5
E03,ACSA,24
E03,FAGR,3
E04,ACRU,45
E04,ABBA,4
E04,ACSA,6
E05,ACRU,26
E05,ACSA,2
E05,FAGR,1
E05,ABBA,18
E05,THOC,1
E06,ABBA,31
E06,ACRU,20
E06,ACSA,2
E06,BEAL,1
E07,FAGR,1
E07,ACSA,1
E08,ACSA,1
E08,FAGR,3
E09,FAGR,10
E09,PIGL,1
E10,BEAL,2
E10,FAGR,4
