station,codeTaxa,nombre
A01,ABBA,10
A01,ACRU,8
A01,BEPA,1
A01,THOC,21
A01,PIST,1
A01,PISP,1
A02,ACRU,61
A02,ACPE,63
A02,ABBA,16
A02,THOC,6
A03,ACPE,28
A03,ABBA,7
A03,ACRU,28
A03,POGR,1
A04,ACRU,20
A04,ACPE,14
A04,ABBA,2
A04,FAGR,2
A05,ACRU,35
A05,ABBA,4
A05,ACPE,13
A05,FAGR,2
A06,ACRU,52
A06,FAGR,1
A06,ACPE,41
A06,ABBA,16
A06,THOC,1
A06,PIGL,1
A06,ACSA,2
A07,ACPE,9
A07,ACRU,2
A07,ABBA,4
A07,ACSA,4
A07,FAGR,3
A08,ACPE,46
A08,ACRU,25
A08,ABBA,15
A08,FAGR,13
A08,BEPA,1
A08,ACSA,1
A09,ACPE,20
A09,FAGR,7
A09,ABBA,8
A10,FAGR,50
A10,ABBA,14
A10,ACPE,12
A10,ACSA,1
A11,FAGR,43
A11,ACPE,20
A11,ABBA,13
B00,THOC,16
B00,PISP,1
B00,ABBA,2
B00,ACRU,4
B01,ABBA,18
B01,ACRU,3
B02,ACRU,20
B02,ABBA,8
B02,THOC,2
B02,ACPE,3
B03,ACRU,20
B03,ABBA,6
B03,ACPE,5
B03,THOC,2
B04,ACPE,28
B04,ACRU,87
B04,ABBA,2
B04,FAGR,6
B04,BEPA,1
B05,ACRU,11
B05,ACPE,11
B05,ACSA,15
B05,BEPA,2
B05,FAGR,4
B06,ABBA,2
B06,BEAL,1
B06,FAGR,4
B06,ACPE,13
B06,BEAL,16
B06,OSVI,13
B06,ACRU,4
B06,ACSA,1
B07,OSVI,20
B07,ACPE,47
B07,ACSA,2
B07,FAGR,10
B07,ABBA,1
B07,ACRU,1
B08,BEAL,1
B08,FAGR,24
B08,ACPE,13
B08,ABBA,3
C01,ACRU,115
C01,THOC,8
C01,ABBA,4
C01,ACPE,1
C02,ACRU,53
C02,THOC,3
C02,ABBA,18
C02,ACPE,12
C03,ACPE,34
C03,ACRU,35
C03,ABBA,15
C03,PIST,2
C03,FAGR,47
C03,BEPA,1
C04,ACRU,49
C04,ACPE,35
C04,ABBA,2
C04,BEPA,2
C04,ACSA,2
C05,ACRU,30
C05,ACPE,87
C05,ACSA,3
C05,ABBA,12
C05,FAGR,1
C05,BEPA,7
C05bis,ACPE,84
C05bis,ACRU,15
C05bis,ACSA,2
C05bis,ABBA,1
C06,ACRU,49
C06,ACPE,65
C06,ABBA,21
C07,ACPE,59
C07,ACRU,5
C07,ACSA,3
C07,FAGR,2
C08,ACPE,36
C09,ACPE,48
C09,FAGR,4
C10,ABBA,6
C10,ACPE,30
C10,FAGR,7
C10,ACSA,1
D01,ACRU,50
D01,ABBA,12
D01,THOC,10
D01,ACPE,5
D02,ABBA,16
D02,ACRU,36
D02,ACPE,18
D02,THOC,6
D03,ABBA,7
D03,ACPE,23
D03,ACRU,17
D03,BEPA,1
D03,FAGR,1
D04,ACPE,41
D04,ACRU,54
D04,ABBA,2
D04,BEAL,1
D05,ACRU,21
D05,ACPE,58
D05,ABBA,11
D05,BEPA,1
D06,ACRU,64
D06,ACPE,78
D06,FAGR,3
D06,ABBA,2
D06,ACSA,3
D07,ACSA,1
D07,ACPE,46
D07,ACRU,1
D07,FAGR,1
D08,ACSA,1
D08,FAGR,2
D08,ACPE,62
D09,ACPE,16
D09,FAGR,7
D10,ACPE,27
D10,ABBA,5
D10,FAGR,2
E02,ABBA,11
E02,ACRU,123
E02,ACPE,26
E02,POGR,1
E02,FAGR,1
E03,ACRU,29
E03,ACSA,11
E03,ACPE,13
E03,ABBA,9
E03,FAGR,1
E04,ACPE,66
E04,ACRU,27
E04,FAGR,2
E04,ABBA,5
E04,ACSA,6
E05,ABBA,21
E05,ACPE,42
E05,ACRU,18
E05,PISP,1
E06,ACPE,63
E06,ACRU,18
E06,ABBA,29
E06,ACSA,1
E07,ACPE,55
E07,ACSA,3
E08,ACPE,35
E08,ACSA,1
E08,FAGR,3
E08,ACPE,15
E09,FAGR,8
E09,ACPE,40
E09,PISP,1
E09,ACRU,5
E10,ACPE,28
E10,ACSA,1
E10,BEAL,3
E10,FAGR,2
