station,codeTaxa,couv
A01,KAAN,3
A01,GAPR,10
A01,EPRE,0.5
A01,VINU,3
A01,RHGR,0.5
A01,VAAN,3
A01,CHUM,0.5
A01,PTAQ,0.5
A01,ARNU,3
A01,COCA,0.5
A01,LYBO,0.5
A01,VAMY,3
A01,CLBO,0.5
A01,ILVE,0.5
A01,CYAC,0.5
A01,MACA,0.5
A01,DEOB,0.5
A01,ACPE,0.5
A01,SOAM,0.5
A01,AMSP,0.5
A02,MEVI,0.5
A02,DRCA,0.5
A02,OCAC,0.5
A02,COCO,0.5
A02,EPRE,0.5
A02,VISP,0.5
A02,AMSP,0.5
A02,GAPR,3
A02,PTAQ,0.5
A02,VAMY,0.5
A02,CHUM,0.5
A02,RURE,0.5
A02,DEOB,0.5
A02,TRUN,0.5
A02,LOCA,0.5
A02,VINU,0.5
A02,LIBO,0.5
A02,ORSE,0.5
A02,ACPE,3
A02,MOUN,0.5
A02,LYBO,0.5
A02,MACA,0.5
A02,ARNU,3
A02,CLBO,0.5
A03,COCA,0.5
A03,PTAQ,0.5
A03,CYAC,0.5
A03,GAPR,3
A03,LYCL,0.5
A03,MIRE,0.5
A03,VISP,0.5
A03,ILVE,0.5
A03,MACA,0.5
A03,CLBO,0.5
A03,EPRE,0.5
A03,CHUM,0.5
A03,MEVI,0.5
A03,OCAC,0.5
A03,COTR,0.5
A03,SOAM,0.5
A03,LYBO,0.5
A03,GORE,0.5
A03,VAMY,0.5
A03,AMSP,0.5
A03,VINU,0.5
A03,ACSP,3
A03,LOCA,0.5
A03,ARNU,3
A03,COCO,3
A03,ORSE,0.5
A03,MOUN,0.5
A03,KAAN,0.5
A03,STLA,0.5
A04,DEOB,0.5
A04,AMSP,0.5
A04,ACPE,10
A04,MACA,3
A04,COCO,3
A04,ARNU,3
A04,VILA,0.5
A04,PTAQ,0.5
A04,CLBO,0.5
A04,MOUN,0.5
A04,MEVI,0.5
A04,VISP,0.5
A04,COCA,0.5
A04,VINU,0.5
A04,ORSE,0.5
A04,DILO,0.5
A04,SOAM,0.5
A04,LYBO,0.5
A04,OCAC,0.5
A04,LOCA,0.5
A04,HULU,0.5
A04,RURE,0.5
A04,DRIN,0.5
A04,MARA,0.5
A04,DRMA,0.5
A04,POVI,0.5
A04,DRCA,0.5
A04,FACI,0.5
A04,RUID,0.5
A04,LYCL,0.5
A04,STLA,0.5
A04,PRSP,0.5
A04,CHUM,0.5
A04,KAAN,0.5
A04,ACSP,0.5
A05,PHCO,0.5
A05,PTAQ,0.5
A05,MACA,0.5
A05,LYBO,0.5
A05,ARNU,3
A05,VILA,0.5
A05,COCA,0.5
A05,ATFI,0.5
A05,COCO,0.5
A05,VISP,0.5
A05,RURE,0.5
A05,CLBO,0.5
A05,COTR,0.5
A05,COAL,0.5
A05,HULU,0.5
A05,OSCL,0.5
A05,LYAN,0.5
A05,DEOB,0.5
A05,DRIN,0.5
A05,MEVI,0.5
A05,LOCA,0.5
A05,DILO,0.5
A05,AMSP,0.5
A05,ACSP,0.5
A05,ACPE,3
A05,LYCL,0.5
A05,OCAC,0.5
A05,ORSE,0.5
A05,VAMY,0.5
A05,MOUN,0.5
A05,COSE,0.5
A06,MACA,3
A06,ARNU,3
A06,PTAQ,0.5
A06,ACPE,3
A06,MARA,0.5
A06,GAPR,0.5
A06,COCA,0.5
A06,DILO,0.5
A06,CYAC,0.5
A06,CHUM,0.5
A06,ACSP,3
A06,AMSP,0.5
A06,CLBO,0.5
A06,LYBO,0.5
A06,DRMA,0.5
A06,VINU,0.5
A06,VAMY,0.5
A06,COAL,0.5
A06,MEVI,0.5
A06,TRER,0.5
A06,OCAC,0.5
A06,DEOB,0.5
A06,CASP,0.5
A06,DRIN,0.5
A06,DRCA,0.5
A06,VISP,0.5
A07,MIRE,0.5
A07,CLBO,0.5
A07,LYBO,0.5
A07,ARNU,3
A07,MACA,0.5
A07,VISP,0.5
A07,DRIN,0.5
A07,PTAQ,3
A07,COCO,10
A07,DICO,3
A07,LYAN,10
A07,DILO,0.5
A07,COSE,0.5
A07,COAL,0.5
A07,OCAC,3
A07,MEVI,0.5
A07,LOCA,3
A07,GORE,0.5
A07,CHUM,0.5
A07,VAMY,0.5
A07,ACPE,37.5
A07,MOUN,0.5
A07,CASP,0.5
A07,DEOB,0.5
A07,PRSP,0.5
A07,LIBO,0.5
A07,ORSE,0.5
A07,HULU,0.5
A07,CYAC,0.5
A07,PYEL,0.5
A07,AMSP,0.5
A08,GORE,0.5
A08,PRSP,0.5
A08,DEOB,0.5
A08,ARNU,10
A08,MACA,0.5
A08,TRUN,0.5
A08,LYBO,0.5
A08,CASP,0.5
A08,ACPE,3
A08,DILO,0.5
A08,OCAC,0.5
A08,PTAQ,0.5
A08,CHUM,0.5
A08,PYEL,0.5
A08,VISP,0.5
A08,COAL,0.5
A08,MEVI,0.5
A08,DRIN,0.5
A08,LYAN,3
A08,EUMA,0.5
A08,MARA,0.5
A08,DICO,0.5
A08,VAMY,0.5
A08,AMSP,0.5
A09,ARNU,62.5
A09,DEOB,3
A09,ACPE,37.5
A09,DICO,37.5
A09,LYAN,20
A09,VISP,0.5
A09,LYBO,0.5
A09,EPHE,0.5
A09,CLBO,0.5
A09,MACA,3
A09,LYCL,0.5
A09,ORSE,0.5
A09,PTAQ,3
A09,MEVI,3
A09,VAMY,0.5
A09,RURE,0.5
A09,DRCA,0.5
A09,VINU,0.5
A09,LOCA,0.5
A09,OCAC,0.5
A09,DRIN,0.5
A09,MARA,0.5
A09,GASP,0.5
A09,PLOR,0.5
A09,AMSP,0.5
A10,MEVI,0.5
A10,ARNU,3
A10,DEOB,3
A10,MACA,3
A10,VISP,0.5
A10,CLBO,0.5
A10,PRSP,0.5
A10,OCAC,0.5
A10,MARA,0.5
A10,TRUN,0.5
A10,LOCA,0.5
A10,PLOR,0.5
A10,EPHE,0.5
A10,LYAN,3
A10,DICO,0.5
A10,LYBO,0.5
A10,ACPE,10
A10,VILA,0.5
A10,DRIN,0.5
A10,TRER,0.5
A10,COCO,3
A10,PYEL,0.5
A10,RURE,0.5
A10,VINU,0.5
A10,CASP,0.5
A10,STLA,0.5
A10,COAL,0.5
A11,PRSP,0.5
A11,CLBO,0.5
A11,PTAQ,3
A11,MACA,3
A11,ARNU,3
A11,OCAC,0.5
A11,LYAN,3
A11,COCO,3
A11,ACPE,3
A11,MOUN,0.5
A11,MARA,0.5
A11,VISP,3
A11,HULU,0.5
A11,TRUN,0.5
A11,TRER,0.5
A11,LYBO,0.5
A11,LOCA,0.5
A11,ATFI,0.5
A11,POPU,0.5
A11,DILO,0.5
A11,MEVI,0.5
A11,PLOR,0.5
A11,DICO,0.5
A11,DRCA,0.5
B00,GAPR,3
B00,VAMY,3
B00,KAAN,0.5
B00,LIBO,0.5
B00,COCA,3
B00,PTAQ,3
B00,CYAC,0.5
B00,ARNU,3
B00,ACPE,3
B00,PYEL,0.5
B00,AMSP,0.5
B00,MACA,0.5
B00,EPRE,3
B00,CLBO,0.5
B00,VINU,0.5
B00,RHGR,0.5
B00,CHUM,0.5
B00,VAAN,0.5
B00,TRUN,0.5
B01,LYBO,3
B01,OCAC,0.5
B01,MACA,0.5
B01,VAMY,0.5
B01,DRCA,0.5
B01,GYDR,0.5
B01,VISP,0.5
B01,PHCO,0.5
B01,MACA,0.5
B01,DRIN,0.5
B01,VINU,0.5
B01,RURE,0.5
B01,ACPE,0.5
B01,ARNU,0.5
B01,SOAM,0.5
B01,EPRE,0.5
B01,COTR,0.5
B01,PTAQ,0.5
B01,AMSP,3
B01,CLBO,0.5
B01,GORE,0.5
B01,COCO,0.5
B01,CYAC,0.5
B01,EQSY,0.5
B01,OSCI,0.5
B01,RIGL,0.5
B01,KAAN,0.5
B01,HULU,0.5
B01,LOCA,0.5
B01,POVI,0.5
B01,POPU,0.5
B01,MARA,0.5
B01,ORSE,0.5
B01,LIBO,0.5
B01,GAPR,0.5
B01,CYAC,0.5
B01,MOUN,0.5
B01,DEOB,0.5
B01,RUPU,0.5
B01,ILVE,0.5
B02,COTR,3
B02,ARNU,20
B02,MACA,3
B02,PTAQ,3
B02,ACSP,10
B02,OCAC,3
B02,CLBO,3
B02,TRUN,3
B02,POVI,0.5
B02,LYBO,3
B02,ACPE,20
B02,COCA,3
B02,LOCA,3
B02,VISP,3
B02,GYDR,0.5
B02,VAAN,0.5
B02,VAMY,3
B02,DRIN,3
B02,DILO,0.5
B02,DEOB,0.5
B02,RIGL,0.5
B02,COCO,3
B02,ORSE,0.5
B02,COAL,0.5
B02,HULU,3
B02,VINU,3
B02,KAAN,0.5
B02,LYCL,0.5
B02,MOUN,0.5
B02,POPU,0.5
B02,CHUM,0.5
B03,CHUM,0.5
B03,VAMY,3
B03,PTAQ,3
B03,GAPR,3
