station,codeTaxa,nombre
A01,ACRU,7
A01,THOC,3
A01,PISP,1
A02,ACRU,13
A02,ABBA,1
A03,ACRU,1
A03,ABBA,1
A04,ACRU,3
A04,ABBA,1
A05,ACRU,7
A05,ACPE,1
A06,ACRU,9
A06,ACPE,2
A06,ACSA,1
A06,ABBA,1
A07,ACRU,6
A07,ACSA,12
A07,ACPE,2
A07,ABBA,1
A08,ACRU,1
A08,ACSA,4
A08,ACPE,2
A09,ACRU,2
A09,POGR,2
A09,ACPE,3
A09,ACSA,6
A10,ACPE,4
A10,FAGR,2
A11,ACSA,2
A11,FAGR,1
A11,ACPE,2
B00,PISP,3
B00,ACRU,1
B01,ABBA,1
B02,POGR,2
B02,ACRU,1
B03,ACRU,8
B03,ACSA,2
B03,ABBA,1
B04,ACSA,4
B04,ACPE,1
B04,ACRU,12
B04,PIGL,1
B05,ACRU,6
B05,ACSA,16
B05,ACPE,7
B06,ACSA,2
B06,FAGR,1
B07,ACRU,4
B07,ACSA,1
B07,ACPE,2
B08,ACPE,11
C01,ACRU,6
C01,BEPA,1
C02,ACRU,8
C02,ACPE,3
C02,ACSA,1
C03,ACPE,2
C03,ACSA,1
C03,ACRU,8
C04,ACRU,11
C04,ACPE,6
C04,POGR,2
C04,ACSA,2
C04,ABBA,1
C04,FAGR,1
C05,ACRU,4
C05,ACSA,1
C05,ACPE,7
C05bis,ACRU,13
C05bis,ACPE,5
C05bis,ACSA,13
C06,ACRU,11
C06,ACPE,3
C06,ACSA,1
C06,BEPA,3
C07,ACPE,14
C08,ACPE,1
C09,ACPE,1
C10,ACRU,7
C10,ACPE,6
C10,ABBA,1
D01,ACRU,1
D01,ABBA,3
D01,ACSA,1
D01,THOC,1
D02,ACRU,4
D02,ACPE,6
D02,THOC,1
D03,ACRU,3
D03,ACPE,4
D04,ACSA,4
D04,ACPE,3
D04,ACRU,2
D05,ACSA,6
D05,ACPE,9
D05,ACRU,2
D05,ABBA,1
D06,ACPE,6
D06,ACRU,4
D06,BEAL,1
D06,POGR,1
D07,ACSA,4
D07,POGR,3
D07,ACPE,2
D08,BEPA,1
D08,ACSA,3
D08,ACRU,3
D08,ACPE,10
D09,ACPE,3
D09,FAGR,3
D10,ACPE,3
D10,ACRU,6
D10,ACSA,1
D10,ABBA,2
E02,ACRU,10
E02,ACPE,4
E02,BEPA,3
E03,ACSA,2
E03,ACRU,2
E03,ACPE,2
E03,ABBA,1
E04,ABBA,1
E04,ACRU,8
E04,ACSA,6
E05,ACRU,2
E05,ACPE,2
E05,ABBA,1
E06,ACRU,3
E06,ACSA,6
E06,ACPE,8
E06,ABBA,2
E06,PIST,1
E07,ACPE,9
E07,ACSA,2
E07,BEPA,1
E08,ACSA,13
E08,ACRU,3
E08,ACPE,2
E08,FAGR,3
E09,ACRU,6
E09,ACSA,6
E09,ACPE,6
E09,FAGR,2
E10,ACPE,14
E10,ACSA,1
E10,FAGR,1
