station,codeTaxa,nombre
A01,ACRU,16
A01,THOC,12
A01,ABBA,8
A01,PISP,1
A01,BEPA,7
A02,ACRU,40
A02,ABBA,3
A02,BEPA,1
A03,ACRU,79
A03,BEPA,6
A04,ACRU,76
A05,ACRU,55
A05,ACSA,4
A06,ACRU,42
A06,ACSA,11
A06,FAGR,1
A06,ABBA,1
A07,ACRU,13
A07,FAGR,0
A07,ACSA,9
A07,ABBA,0
A08,ACSA,54
A08,ACRU,122
A08,POGR,2
A09,ACSA,35
A09,ACRU,5
A10,FAGR,9
A11,ACSA,9
A11,ACRU,6
B00,ACRU,46
B00,PISP,21
B00,THOC,18
B00,ABBA,1
B01,ABBA,4
B01,ACSA,1
B01,ACRU,74
B01,THOC,2
B02,ACRU,20
B02,ACSA,1
B02,PIST,1
B03,ACRU,160
B03,ACSA,4
B03,ABBA,5
B03,FAGR,1
B04,ACSA,19
B04,ACRU,73
B05,ACSA,66
B05,ACRU,23
B05,BEPA,1
B06,ACRU,24
B06,BEPA,6
B06,ACSA,16
B07,ACRU,2
B08,ABBA,4
C01,FAGR,1
C01,ACRU,8
C02,ACRU,77
C02,ABBA,1
C03,ACRU,98
C03,ACSA,4
C03,BEPA,1
C04,ACRU,62
C04,BEPA,5
C04,ACSA,23
C04,ABBA,1
C05,ACRU,55
C05,ABBA,1
C05,ACSA,11
C05,ACRU,20
C06,ACRU,80
C06,ACSA,6
C06,ABBA,4
C06,BEPA,3
C06,FAGR,3
C07,ACRU,8
C07,FAGR,1
C07,ACSA,11
C08,ACRU,46
C08,ACSA,2
C09,ACSA,2
C09,ACRU,2
C10,ACSA,4
C10,ACRU,25
D01,ACRU,37
D01,THOC,16
D01,ABBA,5
D02,ACRU,34
D02,THOC,3
D02,ACSA,1
D02,ABBA,2
D03,ACRU,65
D03,ABBA,2
D03,PIST,1
D04,ACRU,102
D04,ACSA,7
D04,ABBA,9
D04,PIST,1
D05,ACRU,164
D05,ACSA,23
D05,ABBA,2
D05,FAGR,2
D06,ACRU,122
D06,ACSA,6
D06,ABBA,2
D06,POGR,1
D07,ACRU,22
D07,ACSA,15
D07,FAGR,1
D08,ACSA,8
D08,ACRU,34
D09,FAGR,1
D09,ACSA,5
D09,ACRU,19
D10,ACRU,26
D10,ACSA,4
D10,BEPA,4
E02,ACRU,23
E02,ACSA,3
E03,ACRU,96
E03,ACSA,7
E04,ACRU,6
E04,ACSA,4
E04,ABBA,1
E05,ACRU,26
E05,ACSA,4
E05,THOC,2
E05,ABBA,5
E06,ACSA,28
E06,ACRU,6
E06,ABBA,3
E07,ACSA,24
E07,ACRU,102
E07,ABBA,1
E08,ACSA,17
E08,ACRU,60
E09,ACSA,53
E09,ACRU,144
E09,FAGR,8
E10,ACSA,35
E10,ACRU,10
E10,BEPA,1
