station,codeTaxa,nombre
A01,ACRU,7
A01,ACPE,1
A01,ABBA,20
A01,THOC,4
A01,ACSA,1
A02,ACRU,25
A02,ACSA,1
A02,ABBA,8
A02,ACPE,6
A02,POGR,1
A03,ACRU,53
A03,ACPE,48
A03,ABBA,6
A04,ACRU,72
A04,ACPE,35
A04,ABBA,5
A05,ACRU,37
A05,ACSA,4
A05,ACPE,12
A05,ABBA,2
A06,ACRU,28
A06,ACPE,1
A06,ACSA,7
A06,FAGR,1
A06,ABBA,1
A07,ACRU,20
A07,ACSA,14
A07,ACPE,2
A08,ACRU,118
A08,ACSA,21
A08,ACPE,4
A08,FAGR,1
A09,ACRU,13
A09,POGR,1
A09,ACPE,5
A10,ACPE,3
A10,ACSA,2
A10,FAGR,4
A11,ACSA,32
A11,ACRU,2
A11,ACPE,14
B00,PISP,4
B00,ACRU,44
B01,ACRU,140
B01,ABBA,1
B01,ACSA,1
B02,ACPE,11
B02,POGR,2
B02,ACRU,31
B03,ACRU,40
B03,ACSA,12
B03,ACPE,23
B03,ABBA,11
B03,ACRU,33
B03,THOC,1
B04,ACSA,16
B04,ACPE,13
B04,ACRU,47
B04,FAGR,6
B04,ABBA,1
B05,ACRU,31
B05,ACSA,57
B05,ACPE,14
B06,ACPE,39
B06,ACRU,84
B06,ACSA,37
B07,ACRU,36
B07,ACSA,86
B07,ACPE,9
B08,ACSA,16
B08,ACPE,3
C01,ACRU,4
C01,ACPE,7
C02,ACRU,105
C02,ACPE,20
C03,ACPE,28
C03,ACSA,3
C03,ACRU,43
C03,ABBA,6
C03,BEPA,7
C04,ACRU,179
C04,ACPE,36
C04,POGR,2
C04,ACSA,11
C04,ABBA,3
C04,BEPA,5
C04,FAGR,1
C05,ACRU,74
C05,ACSA,1
C05,ACPE,2
C05,POGR,1
C05bis,ACRU,25
C05bis,ACPE,9
C05bis,ACSA,15
C05bis,POGR,1
C05bis,ABBA,1
C06,ACRU,63
C06,ACPE,9
C06,ACSA,5
C06,BEPA,1
C06,ABBA,1
C07,ACPE,20
C07,ACRU,12
C07,ACSA,16
C08,ACPE,32
C08,ACRU,14
C08,ACSA,27
C09,ACSA,126
C09,ACPE,3
C09,FAGR,1
C09,ACRU,2
C10,ACRU,26
C10,ACSA,6
C10,ACPE,12
D01,ACRU,29
D01,ABBA,4
D01,ACPE,12
D01,ACSA,2
D01,THOC,5
D02,BEAL,1
D02,PIST,1
D02,ABBA,8
D02,ACRU,12
D02,ACSA,1
D02,ACPE,16
D03,ABBA,6
D03,ACRU,18
D03,ACSA,6
D03,ACPE,12
D03,POGR,1
D04,ABBA,2
D04,ACSA,9
D04,ACRU,36
D04,ACPE,47
D05,ACSA,45
D05,ACPE,14
D05,ACRU,53
D05,ABBA,1
D05,PISP,1
D05,POGR,1
D06,ACPE,17
D06,ACSA,9
D06,ACRU,52
D06,ABBA,3
D06,BEAL,1
D07,ACSA,17
D07,ACPE,11
D07,ACRU,8
D08,BEPA,1
D08,FAGR,2
D08,ACPE,15
D08,ACRU,35
D08,ACSA,80
D09,ACSA,127
D09,ACPE,21
D10,ACPE,4
D10,ACRU,11
D10,ACSA,2
E02,ACRU,79
E02,ACPE,6
E02,ABBA,4
E02,BEPA,3
E02,ACSA,2
E03,ACSA,1
E03,ACRU,51
E03,ACPE,13
E03,ABBA,3
E04,ABBA,6
E04,ACRU,75
E04,ACPE,3
E04,ACSA,23
E05,ACRU,18
E05,ACPE,18
E05,ABBA,24
E05,ACSA,40
E05,THOC,4
E06,ACRU,24
E06,ACSA,18
E06,ACPE,10
E06,ABBA,5
E06,FAGR,1
E07,ACRU,81
E07,ACPE,48
E07,ACSA,41
E07,BEPA,1
E08,ACSA,11
E08,ACRU,33
E08,ACPE,16
E08,FAGR,7
E09,ACRU,39
E09,ACSA,71
E09,ACPE,37
E09,FAGR,8
E09,POGR,1
E10,ACPE,11
E10,ACSA,40
E10,ACRU,9
