station,codeTaxa,couv
A01,KAAN,3
A01,DEOB,0.5
A01,VAMY,10
A01,LYBO,0.5
A01,COCA,0.5
A01,PTAQ,10
A01,AMSP,0.5
A01,EPRE,3
A01,GAPR,3
A01,GORE,0.5
A01,ILMU,0.5
A01,RHGR,0.5
A01,ARNU,3
A01,CHUM,0.5
A02,ACPE,37.5
A02,ARNU,3
A02,LYBO,0.5
A02,MACA,0.5
A02,COCA,0.5
A02,OCAC,0.5
A02,CHUM,0.5
A02,CLBO,0.5
A02,PTAQ,3
A02,VINU,0.5
A02,GAPR,0.5
A02,LOCA,0.5
A02,COCO,0.5
A02,AMSP,3
A02,LYAN,0.5
A02,DEOB,0.5
A02,MOUN,0.5
A02,TRUN,0.5
A03,SOSP,0.5
A03,MOUN,0.5
A03,PTAQ,3
A03,ARNU,3
A03,CHUM,0.5
A03,COCO,3
A03,MACA,3
A03,VAMY,0.5
A03,LYCL,0.5
A03,ACPE,37.5
A03,GAPR,0.5
A03,LYBO,0.5
A03,DILO,0.5
A03,AMSP,0.5
A03,GORE,0.5
A03,COCA,0.5
A03,SOSP,0.5
A03,CLBO,0.5
A03,ACSP,0.5
A03,OCAC,0.5
A04,RUID,0.5
A04,DRCA,0.5
A04,POVI,0.5
A04,EUMA,0.5
A04,DEPU,0.5
A04,LYBO,0.5
A04,MACA,0.5
A04,KAAN,0.5
A04,MEVI,0.5
A04,ARNU,3
A04,COCO,10
A04,VINU,0.5
A04,PTAQ,3
A04,VISP,0.5
A04,MOUN,0.5
A04,ACPE,20
A04,CLBO,0.5
A04,SOSP,0.5
A04,VAMY,0.5
A04,DEOB,0.5
A04,COCA,0.5
A04,OCAC,0.5
A04,STLA,0.5
A04,LYCL,0.5
A04,LOCA,0.5
A04,RURE,0.5
A04,COAL,0.5
A04,TRUN,0.5
A04,ACSP,0.5
A05,COAL,3
A05,OCAC,0.5
A05,PHCO,0.5
A05,VISP,0.5
A05,MACA,0.5
A05,COCA,3
A05,ARNU,3
A05,TRUN,0.5
A05,CLBO,0.5
A05,LYBO,0.5
A05,ACSP,3
A05,GYDR,0.5
A05,MEVI,0.5
A05,ATFI,0.5
A05,MOUN,0.5
A05,DEOB,0.5
A05,VISP,0.5
A05,COCO,3
A05,DRCA,0.5
A05,PRSP,0.5
A05,VAMY,0.5
A05,ACPE,10
A05,VILA,0.5
A05,OSCL,0.5
A05,VINU,0.5
A05,POPU,0.5
A05,HULU,0.5
A05,LOCA,0.5
A05,COTR,0.5
A06,PTAQ,3
A06,MACA,3
A06,ARNU,10
A06,COCA,0.5
A06,MEVI,0.5
A06,CLBO,0.5
A06,POPU,0.5
A06,VAMY,0.5
A06,COCO,3
A06,LYBO,0.5
A06,COAL,0.5
A06,OCAC,0.5
A06,CHUM,0.5
A06,ACPE,20
A06,LOCA,0.5
A06,MARA,0.5
A06,VAAN,0.5
A07,LYAN,0.5
A07,LYBO,3
A07,MACA,0.5
A07,CLBO,0.5
A07,ACPE,10
A07,ARNU,3
A07,MIRE,0.5
A07,VAMY,0.5
A07,VISP,0.5
A07,COCO,0.5
A07,PTAQ,0.5
A07,DICO,0.5
A07,OCAC,0.5
A07,EUMA,0.5
A07,LOCA,0.5
A07,HULU,0.5
A07,MEVI,0.5
A07,DILO,0.5
A07,VISP,0.5
A07,KAAN,0.5
A07,MOUN,0.5
A07,ORSE,0.5
A07,DEOB,0.5
A08,ACPE,37.5
A08,ARNU,3
A08,DEOB,0.5
A08,MACA,0.5
A08,LYBO,0.5
A08,PTAQ,3
A08,LYCL,0.5
A08,TRUN,0.5
A08,EUMA,0.5
A08,LYAN,0.5
A08,OCAC,0.5
A08,MOUN,0.5
A08,CHUM,0.5
A08,VISP,0.5
A08,MEVI,0.5
A09,DEOB,0.5
A09,DICO,0.5
A09,LYCL,0.5
A09,LYAN,0.5
A09,ARNU,10
A09,LYBO,0.5
A09,MACA,0.5
A09,CLBO,0.5
A09,KAAN,0.5
A09,MEVI,0.5
A09,EUMA,0.5
A09,ACPE,10
A09,PTAQ,0.5
A09,MOUN,0.5
A09,COCO,0.5
A09,LOCA,0.5
A09,DRCA,0.5
A09,OCAC,0.5
A09,EPHE,0.5
A09,PLOR,0.5
A09,AMSP,0.5
A09,POPU,0.5
A10,DICO,0.5
A10,DEOB,0.5
A10,MACA,0.5
A10,MEVI,0.5
A10,ARNU,0.5
A10,ACPE,3
A10,CLBO,0.5
A10,TRUN,0.5
A10,POPU,0.5
A10,VISP,0.5
A10,LYBO,0.5
A10,COCA,0.5
A10,LYAN,0.5
A10,MOUN,0.5
A10,OCAC,0.5
A10,VILA,0.5
A10,ATFI,0.5
A10,SYCO,0.5
A10,MARA,0.5
A11,ARNU,3
A11,COCO,3
A11,ACPE,3
A11,POPU,0.5
A11,PTAQ,0.5
A11,OCAC,0.5
A11,CLBO,0.5
A11,MACA,0.5
A11,LYBO,0.5
A11,VISP,0.5
A11,TRER,0.5
A11,DILO,0.5
A11,PRSP,0.5
A11,MOUN,0.5
A11,LOCA,0.5
A11,DICO,0.5
A11,PLOR,0.5
A11,PYEL,0.5
A11,OSCI,0.5
A11,DEOB,0.5
A11,LYCL,0.5
A11,MEVI,0.5
A11,VINU,0.5
A11,DICO,0.5
A11,LYAN,0.5
A11,TRUN,0.5
A11,EPHE,0.5
A11,THNO,0.5
A11,DRCA,0.5
A11,VILA,0.5
B00,GAPR,3
B00,PTAQ,3
B00,VAMY,3
B00,KAAN,0.5
B00,COCA,3
B00,LIBO,0.5
B00,ACPE,3
B00,MACA,0.5
B00,CLBO,0.5
B00,ARNU,0.5
B00,EPRE,0.5
B00,VAAN,0.5
B00,LYBO,0.5
B00,ILMU,0.5
B01,LYBO,3
B01,VAAN,0.5
B01,VAMY,0.5
B01,DRCA,0.5
B01,MACA,0.5
B01,VINU,3
B01,COCA,0.5
B01,ARNU,0.5
B01,ACPE,0.5
B01,DEOB,0.5
B01,MEVI,0.5
B01,GYDR,3
B01,PHCO,0.5
B01,VISP,0.5
B01,COTR,0.5
B01,CLBO,0.5
B01,PTAQ,0.5
B01,SOAM,0.5
B01,POVI,0.5
B01,ILVE,0.5
B01,MYGA,0.5
B01,OCAC,0.5
B01,ACSP,0.5
B02,LYBO,0.5
B02,MACA,0.5
B02,CLBO,0.5
B02,VAMY,0.5
B02,MOUN,0.5
B02,MYGA,0.5
B02,VINU,0.5
B02,VISP,0.5
B02,COCA,0.5
B02,DEOB,0.5
B02,GYDR,0.5
B02,LYCL,0.5
B02,TRER,0.5
B02,KAAN,0.5
B02,HULU,0.5
B02,COCO,0.5
B02,DRCA,0.5
B02,OSCI,0.5
B02,COTR,3
B02,ARNU,3
B02,PTAQ,3
B02,ACPE,20
B03,COCA,3
B03,MACA,3
B03,MYGA,0.5
B03,GAPR,0.5
B03,LYBO,0.5
B03,ARNU,0.5
B03,CLBO,0.5
B03,VAMY,0.5
B03,CHUM,0.5
B03,OCAC,0.5
B03,PTAQ,3
B03,VISP,0.5
B03,RURE,0.5
B03,DEOB,0.5
B03,VINU,0.5
B03,LYAN,0.5
B03,KAAN,0.5
B03,ACSP,10
B03,ACPE,10
B03,MOUN,0.5
B03,ACSP,3
B04,TRUN,0.5
B04,MACA,0.5
B04,PTAQ,3
B04,MARA,3
B04,DEOB,0.5
B04,LYCL,0.5
B04,ARNU,3
B04,CHUM,0.5
B04,DRCA,0.5
B04,ACPE,10
B04,VISP,0.5
B04,MEVI,0.5
B04,MIRE,0.5
B04,ACSP,0.5
B04,VAMY,0.5
B04,OCAC,0.5
B04,COCO,0.5
B05,MARA,0.5
B05,MOUN,0.5
B05,MACA,0.5
B05,STLA,0.5
B05,OCAC,0.5
B05,DRCA,0.5
B05,DEPU,0.5
B05,VISP,0.5
B05,LYBO,0.5
B05,PTAQ,0.5
B05,ARNU,0.5
B05,ATFI,0.5
B05,DILO,0.5
B05,PYEL,0.5
B05,GASP,0.5
B05,ACPE,10
B05,PRSP,0.5
B05,DRMA,0.5
B05,COCO,0.5
B06,PYEL,0.5
B06,STLA,0.5
B06,MACA,0.5
B06,LYBO,0.5
B06,DRCA,0.5
B06,VISP,0.5
B06,OCAC,0.5
B06,MARA,0.5
B06,DEOB,0.5
B06,PTAQ,0.5
B06,DILO,0.5
B06,EPHE,0.5
B06,ACPE,10
B06,COCO,3
B07,COCO,3
B07,DICO,3
B07,DRMA,3
B07,ARNU,3
B07,ATFI,10
B07,OCAC,0.5
B07,MEVI,0.5
B07,MACA,0.5
B07,HULU,0.5
B07,MARA,0.5
B07,POPU,0.5
B07,LYBO,0.5
B07,STLA,0.5
B07,MARA,0.5
B08,ACPE,20
B08,ATFI,10
B08,DICO,10
B08,HULU,3
B08,MACA,0.5
B08,TRER,0.5
B08,LYBO,0.5
B08,DRCA,0.5
B08,LOCA,0.5
B08,VISP,0.5
B08,CLBO,0.5
B08,LYAN,0.5
B08,MARA,0.5
B08,STLA,0.5
B08,ARNU,0.5
B08,MEVI,0.5
B08,DEOB,0.5
C01,MACA,0.5
C01,GAPR,3
C01,ACPE,3
C01,PTAQ,0.5
C01,VAMY,3
C01,KAAN,0.5
C01,LYBO,0.5
C01,PYEL,0.5
C01,CLBO,0.5
C01,CHUM,0.5
C01,ARNU,0.5
C01,CYAC,0.5
C01,VAAN,0.5
C01,LIBO,0.5
C01,VINU,0.5
C01,MOUN,0.5
C01,ALIN,0.5
C01,EPRE,0.5
C01,RURE,0.5
C01,DRCA,0.5
C01,COCA,0.5
C01,SACA,0.5
C01,COAL,0.5
C01,COCO,0.5
C02,MACA,0.5
C02,GAPR,0.5
C02,ACPE,0.5
C02,VAMY,3
C02,PTAQ,3
C02,ARNU,3
C02,LIBO,0.5
C02,COCA,3
C02,CHUM,0.5
C02,KAAN,0.5
C02,VINU,0.5
C02,COCO,0.5
C02,EPRE,0.5
C02,CLBO,0.5
C02,COTR,0.5
C02,OCAC,0.5
C02,MIRE,0.5
C02,LOCA,0.5
C02,ILVE,0.5
C03,GAPR,0.5
C03,COCA,3
C03,VAMY,0.5
C03,MACA,0.5
C03,PTAQ,0.5
C03,LYBO,0.5
C03,ACPE,10
C03,KAAN,0.5
C03,ARNU,0.5
C03,LYAN,0.5
C03,RURE,0.5
C03,MARA,0.5
C03,CYAC,0.5
C03,VINU,0.5
C03,OCAC,0.5
C03,DEOB,0.5
C03,CHUM,0.5
C03,MIRE,0.5
C03,VAAN,0.5
C03,CLBO,0.5
C03,COAL,0.5
C04,MACA,0.5
C04,LYBO,0.5
C04,ARNU,0.5
C04,CLBO,3
C04,MEVI,0.5
C04,GAPR,0.5
C04,TRUN,0.5
C04,VAMY,0.5
C04,ACPE,10
C04,COAL,0.5
C04,PTAQ,0.5
C04,MARA,0.5
C04,COCA,0.5
C04,CHUM,0.5
C04,VISP,0.5
C04,DILO,0.5
C04,VILA,0.5
C04,COCO,0.5
C04,KAAN,0.5
C04,OCAC,0.5
C04,ILVE,0.5
C04,RUID,0.5
C04,PRSP,0.5
C04,RURE,0.5
C04,LYCL,0.5
C05,GAPR,3
C05,MACA,0.5
C05,ARNU,3
C05,PTAQ,10
C05,MARA,0.5
C05,COCA,0.5
C05,CHUM,0.5
C05,LYBO,0.5
C05,VAAN,0.5
C05,CYAC,0.5
C05,VAMY,0.5
C05,OCAC,0.5
C05,STLA,0.5
C05,HULU,0.5
C05,PYEL,0.5
C05,VISP,0.5
C05,PLOR,0.5
C05,POPU,0.5
C05,CLBO,0.5
C05,PRSP,0.5
C05,ACPE,37.5
C06,ARNU,3
C06,MACA,0.5
C06,PTAQ,10
C06,COCO,3
C06,LYBO,0.5
C06,MARA,0.5
C06,CYAC,0.5
C06,CHUM,0.5
C06,ACPE,37.5
C06,MIRE,0.5
C06,OCAC,0.5
C06,VAMY,0.5
C06,COCA,0.5
C06,KAAN,0.5
C06,HULU,0.5
C06,VINU,0.5
C06,LOCA,0.5
C06,VISP,0.5
C06,DILO,0.5
C06,POPU,0.5
C06,EUMA,0.5
C07,MEVI,0.5
C07,PRSP,0.5
C07,HULU,3
C07,ARNU,3
C07,LYBO,0.5
C07,MACA,0.5
C07,ACPE,37.5
C07,MOUN,0.5
C07,PTAQ,3
C07,CLBO,0.5
C07,PYEL,0.5
C07,OCAC,0.5
C07,DEOB,0.5
C07,COCA,0.5
C07,TRUN,0.5
C07,MARA,0.5
C07,STLA,0.5
C07,SYCO,0.5
C07,COAL,0.5
C07,VISP,0.5
C07,DRCA,0.5
C07,LOCA,0.5
C07,PLOR,0.5
C08,MACA,0.5
C08,ARNU,0.5
C08,LYBO,0.5
C08,MEVI,0.5
C08,VISP,0.5
C08,ACPE,37.5
C08,PTAQ,0.5
C08,TRUN,0.5
C08,OCAC,0.5
C08,DRCA,0.5
C08,HULU,0.5
C08,PYEL,0.5
C08,STLA,0.5
C08,COCO,0.5
C08,PRSP,0.5
C08,CLBO,0.5
C08,MOUN,0.5
C08,LOCA,0.5
C08,VISP,0.5
C08,TRER,0.5
C08,PYEL,0.5
C08,DEOB,0.5
C09,ARNU,10
C09,MACA,0.5
C09,PTAQ,0.5
C09,MEVI,0.5
C09,ACPE,37.5
C09,DRCA,3
C09,OCAC,0.5
C09,DEOB,0.5
C09,TRUN,0.5
C09,PRSP,0.5
C09,MARA,0.5
C09,VISP,0.5
C09,LOCA,0.5
C09,PYEL,0.5
C09,SYCO,0.5
C09,STLA,0.5
C09,COCO,0.5
C09,LYBO,0.5
C09,DEPU,0.5
C10,PTAQ,3
C10,ARNU,10
C10,MACA,0.5
C10,LYBO,0.5
C10,OCAC,0.5
C10,DRCA,0.5
