station,dhp,codeTaxa
A01,47,APST
A01,13.5,BABA
A01,10,BARU
A01,11.6,BBPA
A01,28.399999999999999,BPGR
A01,13.199999999999999,BPMA
A01,11.800000000000001,BTOC
A02,20.899999999999999,APST
A02,13.5,BARU
A02,24.100000000000001,BBPA
A02,26.899999999999999,BPGR
A02,13.1,BTOC
A03,13.1,APST
A03,19,BABA
A03,13,BAPN
A03,18.399999999999999,BARU
A03,19.100000000000001,BBPA
A03,10.9,BPGR
A04,17.699999999999999,AASA
A04,21.600000000000001,APST
A04,18.899999999999999,BABA
A04,12.199999999999999,BAPN
A04,10,BARU
A04,21.800000000000001,BBPA
A04,37.700000000000003,BPGR
A05,25.800000000000001,BABA
A05,12,BARU
A05,23.5,BBAL
A05,12.5,BBPA
A05,37.799999999999997,BPGR
A06,16.199999999999999,AASA
A06,27.100000000000001,APST
A06,12.300000000000001,BABA
A06,10,BARU
A06,11.699999999999999,BBPA
A06,24.899999999999999,BPGR
A07,19.699999999999999,AASA
A07,14.300000000000001,BARU
A07,12.5,BBPA
A07,45,BPGR
A08,23.100000000000001,AASA
A08,12,BABA
A08,12.5,BAPN
A08,15.9,BARU
A08,30.5,BBPA
A09,13.9,AASA
A09,10.5,AFGR
A09,25.699999999999999,BBPA
A09,45.100000000000001,BPGR
A10,11.9,AASA
A11,11,AASA
A11,17,BABA
A11,43,BBPA
A11,33.5,BPGR
A12,31,AASA
A12,15.699999999999999,BAPN
A12,16.800000000000001,BBPA
A13,10.1,AASA
A13,14.300000000000001,BABA
A13,11.5,BAPN
A13,10.5,BARU
A13,21.5,BBPA
A14,26.899999999999999,AASA
A14,11.199999999999999,BARU
A14,21.399999999999999,BBAL
A14,25.199999999999999,BBPA
A15,38,AASA
A15,14.199999999999999,AFGR
A16,11.6,AASA
A16,10,BABA
A16,30.5,BARU
A16,18.800000000000001,BBAL
A16,25.5,BBPA
B0,19.5,APST
B0,11.800000000000001,BARU
B0,18.899999999999999,BBPA
