station,dhp,codeTaxa
A01,49.6,APST
A01,11,BABA
A01,10.5,BARU
A01,14.2,BBPA
A01,23.5,BPGR
A01,21.5,BPSP
A01,13.4,BTOC
A02,22,APST
A02,17.5,BARU
A02,16.5,BBPA
A02,22.6,BPGR
A02,16.6,BTOC
A03,49.5,APST
A03,14,BABA
A03,14,BAPN
A03,19,BARU
A03,17.5,BBPA
A03,10.5,BPGL
A03,15.3,BPGR
A04,20.5,BARU
A04,18.9,AASA
A04,20,BABA
A04,20.4,BBPA
A04,21.7,APST
A04,38.5,BPGR
A04,11.1,BAPN
A05,30.1,AASA
A05,18.9,BABA
A05,10.2,BAPN
A05,12,BARU
A05,22.5,BBAL
A05,11.5,BBPA
A05,35.5,BPGR
A06,46.5,APST
A06,12.8,BABA
A06,15.4,BARU
A06,23.8,BBPA
A06,37,BPGR
A07,20.5,AASA
A07,46.5,BPGR
A07,20.6,BBPA
A08,25,AASA
A08,12.5,BABA
A08,33,BARU
A08,27,BBPA
A09,16.4,AASA
A09,10.4,AFGR
A09,25.8,BBPA
A09,44.6,BPGR
A10,12.3,AASA
A10,58.8,BPGR
B00,18.9,APST
B00,12.6,BBPA
B00,26,BPGR
B00,13.7,BPSP
B00,15.8,BTOC
B01,10.5,BABA
B01,15.4,BARU
B01,16.6,BBAL
B01,18.8,BBPA
B01,13.9,BPSP
B01,12.2,BTOC
B02,11.4,AASA
B02,11.4,BABA
B02,13,BAPN
B02,11.1,BARU
B02,22.1,BBPA
B02,35,BPTR
B02,22.7,BTOC
B03,38.5,APST
B03,13,BABA
B03,12.7,BARU
B03,16.9,BBPA
B03,29.3,BPGR
B04,19.6,AASA
B04,20.8,BARU
B04,23.6,BBPA
B04,32.5,BPGR
B05,16.4,AASA
B05,17,AFGR
B05,15.5,BBPA
B06,12.6,AASA
B06,15,BBPA
B07,11.2,AASA
B08,20.8,AASA
B08,17.3,BABA
C01,11.7,APST
C01,10.4,BABA
C01,10.4,BARU
C01,14.9,BBPA
C01,15.3,BPGL
C01,34.6,BPGR
C01,10.7,BTOC
C02,16.6,APST
C02,12.7,BABA
C02,14.5,BARU
C02,17.3,BBPA
C02,21.7,BPGR
C02,11.1,BTOC
C03,40.2,APST
C03,11.7,BABA
C03,19.5,BARU
C03,13.9,BBPA
C04,17.6,AASA
C04,12.9,BAPN
C04,10.3,BARU
C04,21.6,BBPA
C04,34.8,BPGR
