station,dhp,codeTaxa
A01,43.4,APST
A01,12.2,BABA
A01,12,BARU
A01,13.6,BBPA
A01,23.4,BPGR
A01,18.6,BPMA
A01,15.8,BTOC
A02,10.4,BARU
A02,23.5,BBPA
A02,39.2,BPGR
A03,45.5,APST
A03,14.6,BABA
A03,11,BAPN
A03,23.8,BARU
A03,10.6,BBPA
A03,37,BPGR
A04,16,AASA
A04,20,APST
A04,10.5,BAPN
A04,11.1,BARU
A04,26.5,BBPA
A04,10,BPGR
A05,14,AASA
A05,17.5,BABA
A05,10,BAPN
A05,12,BARU
A05,21.5,BBAL
A05,15,BBPA
A05,33.5,BPGR
A06,12.4,AASA
A06,42.6,APST
A06,11.6,BABA
A06,14.6,BARU
A06,17.6,BBPA
A06,23,BPGR
A07,12.1,AASA
A07,25.1,BBPA
A07,52.6,BPGR
A08,14.3,AASA
A08,11.4,BABA
A08,21.9,BARU
A08,32.4,BBPA
A08,34.6,BPTR
A09,21.2,AASA
A09,10,AFGR
A09,25.9,BBPA
A09,43,BPTR
A10,14,AASA
A10,12.5,BABA
B00,24.3,AFGR
B00,35.5,APST
B00,13.5,BBPA
B00,12.8,BPRU
B00,12.3,BTOC
B01,10.8,BABA
B01,15,BARU
B01,24,BBPA
B01,24,BPGR
B01,18,BTOC
B02,11.2,AASA
B02,12.6,APST
B02,13.5,BAPN
B02,11.4,BARU
B02,14.2,BBAL
B02,20.6,BBPA
B02,36,BPGR
B02,21,BTOC
B03,10.7,AFGR
B03,16.4,BABA
B03,19,BBPA
B03,14.2,BPGR
B04,17.1,AASA
B04,16.8,BARU
B04,20.4,BBPA
B04,29.3,BPGR
B05,19,AASA
B05,15,AFGR
B05,15.5,BARU
B05,25.5,BBPA
B06,15.3,AASA
B06,11.1,BARU
B06,14.5,BBPA
B06,38.7,BPGR
B07,18.6,AASA
C01,23.7,APST
C01,13.5,BABA
C01,13.2,BARU
C01,16.4,BBPA
C01,32.7,BPGR
C01,23.4,BTOC
C02,19,APST
C02,13.5,BARU
C02,10,BBPA
C02,18,BPGR
C02,10,BTOC
C03,30,APST
C03,23.7,BABA
C03,12.9,BARU
C03,18.9,BBPA
C03,16.7,BPGR
C04,12.6,BAPN
C04,26.5,BARU
C04,10.9,BBPA
C04,30,BPGR
C05,12,AASA
C05,11.2,BAPN
C05,12,BARU
C05,26,BBPA
C05,30,BPGR
C06,13,AASA
C06,10.6,BAPN
C06,12.8,BARU
C06,15.4,BBPA
C06,23.6,BPGR
C07,13.2,AASA
C07,14.4,BABA
C07,16.1,BBPA
C07,30.8,BPGR
C08,16,AASA
C08,29,BBPA
D01,17.7,AASA
D01,10.6,BABA
D01,15.1,BARU
D01,23.3,BBPA
D01,11.2,BTOC
D02,10,BABA
D02,11.9,BAPN
D02,12.9,BARU
D02,13.2,BBPA
D02,26.4,BPGR
D03,19,APST
D03,12.2,BABA
D03,11.4,BAPN
D03,31.4,BARU
D03,12.9,BBAL
D03,32.7,BBPA
D03,35.4,BPGR
D04,14.8,AASA
D04,30.6,APST
D04,15.9,BABA
D04,10.9,BAPN
D04,12.9,BARU
D04,11.6,BBPA
D04,10.2,BPGR
D05,15,AASA
D05,10.4,BARU
D05,33,BBAL
D05,16.9,BBPA
D05,33.6,BPGR
D06,10.9,AASA
D06,22.1,BABA
D06,18,BARU
D06,22.3,BBPA
D06,24,BPGR
D07,27.4,AASA
D07,11.3,AFGR
D07,12.5,BAPN
D07,15.4,BARU
D07,10.6,BBAL
D07,19.4,BBPA
D07,22,BPGR
