station,codeTaxa,couv
A01,COCA,37.5
A01,VAMY,37.5
A01,GAPR,37.5
A01,KAAN,37.5
A01,PTAQ,10
A01,VINU,3
A01,CHUM,0.5
A01,EPRE,3
A01,LYBO,0.5
A01,LYCL,0.5
A01,CLBO,0.5
A01,ARNU,3
A01,VISP,0.5
A01,MACA,0.5
A01,DRCA,0.5
A01,RHGR,3
A01,ACPE,0.5
A01,DRIN,0.5
A01,ILMU,3
A01,SASP,3
A01,KAPO,3
A02,CHUM,10
A02,CLBO,10
A02,MACA,3
A02,ACPE,62.5
A02,PTAQ,20
A02,VAMY,20
A02,LYBO,0.5
A02,ARNU,10
A02,COCA,3
A02,GAPR,10
A02,COCO,20
A02,DRIN,3
A02,VINU,3
A02,LYCL,0.5
A02,OCAC,0.5
A02,EPRE,0.5
A02,VISP,0.5
A02,MOUN,0.5
A02,KAAN,3
A02,ILMU,3
A02,MEVI,0.5
A02,LYAN,0.5
A02,DEDE,0.5
A02,RUPU,0.5
A02,LOCA,3
A02,SOAM,0.5
A02,DRCA,0.5
A02,VILA,0.5
A02,RURE,0.5
A02,POPU,0.5
A02,TRUN,0.5
A03,ARNU,10
A03,COCA,10
A03,MACA,10
A03,CHUM,3
A03,PTAQ,10
A03,COCO,20
A03,GAPR,10
A03,KAAN,3
A03,DRCA,0.5
A03,VINU,3
A03,ILMU,0.5
A03,CLBO,3
A03,TRUN,0.5
A03,VISP,0.5
A03,VAMY,3
A03,LYBO,0.5
A03,LYCL,0.5
A03,DILO,0.5
A03,OCAC,0.5
A03,MOUN,0.5
A03,HULU,0.5
A03,COTR,0.5
A03,LIBO,0.5
A03,GORE,0.5
A03,EUMA,0.5
A03,ACSP,0.5
A03,ACPE,20
A03,ORSE,0.5
A03,DRIN,0.5
A04,PTAQ,20
A04,LYBO,0.5
A04,CLBO,10
A04,MOUN,0.5
A04,ARNU,10
A04,KAAN,0.5
A04,DEDE,3
A04,VINU,3
A04,LOCA,0.5
A04,MACA,3
A04,ACPE,87.5
A04,VILA,0.5
A04,VAMY,3
A04,COCA,3
A04,COCO,37.5
A04,DRIN,0.5
A04,SOAM,0.5
A04,ACSP,3
A04,CHUM,0.5
A04,OCAC,0.5
A04,HULU,0.5
A04,VISP,3
A04,STLA,0.5
A04,DRCA,0.5
A04,COAL,0.5
A04,MEVI,0.5
A04,GORE,0.5
A04,LYCL,0.5
A05,COCO,37.5
A05,ACPE,37.5
A05,MACA,10
A05,CLBO,10
A05,DILO,3
A05,TRUN,0.5
A05,LYBO,3
A05,VILA,10
A05,OCAC,3
A05,PHCO,3
A05,COCA,10
A05,TRER,0.5
A05,PTAQ,10
A05,VISP,3
A05,DEOB,3
A05,ARNU,10
A05,DRCA,3
A05,COAL,3
A05,MEVI,0.5
A05,MOUN,0.5
A05,LYCL,0.5
A05,COTR,3
A05,HULU,0.5
A05,VINU,10
A05,DEDE,0.5
A05,PLOR,0.5
A05,VAMY,3
A05,ORSE,0.5
A05,DRIN,0.5
A05,COCA,3
A05,LYAN,0.5
A05,ATFI,0.5
A05,DRIN,0.5
A05,RURE,0.5
A05,STLA,0.5
A05,FACI,0.5
A05,CASP,0.5
A06,ACPE,62.5
A06,CHUM,3
A06,MACA,10
A06,ARNU,10
A06,COCO,20
A06,DILO,3
A06,PTAQ,10
A06,STLA,0.5
A06,CASP,0.5
A06,LOCA,3
A06,MEVI,0.5
A06,VISP,3
A06,VAMY,0.5
A06,DRCA,0.5
A06,MARA,0.5
A06,GAPR,0.5
A06,CLBO,0.5
A06,ANSP,0.5
A06,OCAC,3
A06,ORSE,0.5
A06,HULU,0.5
A06,PRSP,0.5
A06,DEDE,3
A06,POPU,0.5
A06,LYBO,0.5
A06,COAL,3
A06,AMSP,3
A06,TRUN,0.5
A06,MOUN,0.5
A06,COCA,0.5
A06,VINU,0.5
A06,LYAN,0.5
A06,CYAC,0.5
A06,LYUN,0.5
A06,RURE,0.5
A07,LYBO,0.5
A07,LYAN,3
A07,ARNU,3
A07,COCO,20
A07,DRIN,0.5
A07,MIRE,3
A07,MACA,3
A07,CLBO,0.5
A07,VISP,0.5
A07,ACPE,37.5
A07,DICO,3
A07,CHUM,0.5
A07,COAL,3
A07,MOUN,0.5
A07,AMSP,0.5
A07,PYEL,0.5
A07,VAMY,0.5
A07,PTAQ,3
A07,ACSP,0.5
A07,UVSE,0.5
A07,OCAC,3
A07,MEVI,0.5
A07,HULU,0.5
A07,RURE,0.5
A07,EUMA,0.5
A07,DILO,3
A07,LOCA,3
A07,DRCA,0.5
