station,codeTaxa,dhp
A01,ABBA,11
A01,ABBA,10.9
A01,BEPA,13.7
A01,BEPA,11
A01,THOC,13.7
A01,THOC,10.2
A01,THOC,10.5
A01,THOC,22.7
A01,THOC,18
A01,THOC,14.5
A01,THOC,18.9
A01,PIST,17.3
A01,PIST,29.9
A01,PIST,23
A01,POGR,30
A01,POGR,26.4
A01,THOC,17
A01,THOC,19.6
A01,THOC,16.8
A01,THOC,22.2
A01,THOC,11.8
A01,POGR,23.9
A01,ABBA,14
A01,PIST,53
A01,THOC,21.7
A01,BEPA,18.3
A01,THOC,14.1
A01,THOC,15.2
A01,PISP,20
A01,THOC,13.5
A01,THOC,18.6
A01,THOC,19.1
A01,THOC,12.4
A01,ABBA,16
A01,THOC,21.1
A02,ABBA,12.4
A02,BEPA,13.2
A02,BEPA,15.4
A02,BEPA,20.7
A02,ACRU,15.6
A02,BEPA,23
A02,ACRU,19
A02,BEPA,15.5
A02,ABBA,13.6
A02,BEPA,18.6
A02,BEPA,12.1
A02,BEPA,12.5
A02,ABBA,17.4
A02,BEPA,21.8
A02,ACRU,10.5
A02,BEPA,17.2
A02,BEPA,25.9
A02,POGR,42.6
A02,POGR,37.8
A02,POGR,28.9
A02,POGR,40.4
A02,ACRU,15.6
A02,ACRU,18.5
A02,ACRU,15.2
A02,POGR,26.7
A02,PIST,30
A02,ACPE,10.4
A02,BEPA,13.2
A02,THOC,19.8
A02,POGR,32.7
A03,BEPA,20
A03,BEPA,13.2
A03,BEPA,11.2
A03,BEPA,14.5
A03,BEPA,23.5
A03,BEPA,18.1
A03,BEPA,13.8
A03,BEPA,21.4
A03,BEPA,20.4
A03,BEPA,10.4
A03,BEPA,18.7
A03,BEPA,14.3
A03,ACPE,10.6
A03,ACPE,11.5
A03,ACPE,10.9
A03,ACPE,15.5
A03,ABBA,24.6
A03,ABBA,11.5
A03,ABBA,14.4
A03,ABBA,11.7
A03,ABBA,13.1
A03,ABBA,12
A03,ABBA,13
A03,ACRU,15.9
A03,ACRU,14
A03,ACRU,14.8
A03,PIST,22.7
A03,PIST,33.4
A03,PIST,45.4
A03,PIST,54.4
A03,PIST,21.7
A03,POGR,33.5
A04,ACRU,11
A04,ACRU,10.5
A04,ACRU,18.5
A04,POGR,42.4
A04,BEPA,14.7
A04,ACRU,11.9
A04,BEPA,24.2
A04,BEPA,22.5
A04,BEPA,24.2
A04,BEPA,25.4
A04,BEPA,21.3
A04,ACRU,18.3
A04,BEPA,23.9
A04,ABBA,24.8
A04,ACRU,22.1
A04,ACRU,14
A04,ACRU,14.2
A04,BEPA,15
A04,BEPA,17.4
A04,ABBA,20
A04,ACPE,10.3
A04,ACRU,13.8
A04,ACRU,30.5
A04,ACRU,19.2
A04,ACSA,20
A04,PIST,26.1
A04,ACPE,13
A04,ACRU,15.2
A04,BEPA,17.5
A04,ACRU,33.3
A04,ACPE,16.7
A04,BEPA,30.5
A04,BEPA,25.5
A04,BEPA,26.3
A05,POGR,36.6
A05,POGR,40.5
A05,ACRU,12.5
A05,ACRU,16.9
A05,ACRU,11.2
A05,ACRU,10.2
A05,ACRU,21
A05,ACRU,16.6
A05,ACRU,13.5
A05,ACRU,12.6
A05,ACRU,19.6
A05,ACRU,16.6
A05,ACRU,16
A05,BEPA,19.7
A05,BEPA,36.2
A05,BEPA,32.5
A05,BEPA,18
A05,BEPA,28
A05,ABBA,32.2
A05,ABBA,20.5
A06,ACPE,11.1
A06,BEPA,81.8
A06,ACPE,21.7
A06,PIST,50
A06,POGR,31.6
A06,POGR,40.3
A06,ACRU,11
A06,BEPA,29
A06,ACRU,17.4
A06,PIST,47
A06,BEPA,16.6
A06,ACPE,12.9
A06,POGR,32.4
A06,ACPE,16.7
A06,BEPA,22.3
A06,ACPE,18.5
A06,ACPE,11.9
A06,ACSA,50
A06,BEPA,12.7
A06,POGR,40
A06,BEPA,19.8
A06,BEPA,23
A06,POGR,28.2
A06,ACPE,15.7
A06,ABBA,14.1
A07,ACSA,55.3
A07,ABBA,10.7
A07,BEPA,98.2
A07,ACSA,15.3
A07,ACSA,41.4
A07,ABBA,11.4
A07,ACSA,13.5
A07,BEPA,100.6
A07,ACSA,30.2
A07,ACSA,14.3
