station,dhp,codeTaxa
A01,26.8,APST
A01,11.5,BABA
A01,10.2,BARU
A01,10.9,BBPA
A01,27.8,BPGR
A01,12.1,BPMA
A01,10,BTOC
A02,21.3,APST
A02,15.3,BABA
A02,15.3,BARU
A02,12.6,BBPA
A02,26.1,BPGR
A02,15.5,BTOC
A03,24,APST
A03,11.7,BABA
A03,10.8,BARU
A03,17.6,BBAL
A03,11.3,BBPA
A03,21.9,BPGR
A04,17.6,AASA
A04,20.8,APST
A04,18,BABA
A04,21.2,BARU
A04,20.7,BBAL
A04,28.1,BBPA
A04,37.3,BPGR
A05,18.3,BABA
A05,12.7,BARU
A05,24.3,BBPA
A05,33.5,BPGR
A06,13.1,AASA
A06,43.1,APST
A06,11.8,BABA
A06,16.1,BBPA
A06,31,BPGR
A07,16.6,AASA
A07,23.9,BBPA
A07,50,BPGR
A08,10,AASA
A08,10.1,BABA
A08,14.7,BARU
A08,31.7,BBPA
A08,35.5,BPGR
A09,13.9,AASA
A09,10,AFGR
A09,14.6,BBPA
A10,12.8,AASA
A10,54.5,BPGR
B00,12.1,APST
B00,22,BARU
B00,10.2,BBPA
B00,25,BPGR
B00,12.5,BPMA
B00,11.4,BTOC
B01,11.8,BABA
B01,15.2,BARU
B01,20,BBPA
B01,20.9,BTOC
B02,12.3,BABA
B02,14.1,BARU
B02,20,BBPA
B02,35.7,BPGR
B02,18.6,BTOC
B03,24.2,APST
B03,12.6,BABA
B03,15.4,BBPA
B03,31.7,BPGR
B03,10.5,BPMA
B03,12.5,BPTR
B04,17,AASA
B04,18.4,BARU
B04,21.6,BBPA
B04,30.6,BPGR
B05,28.3,AASA
B05,15.5,AFGR
B05,17.4,BBPA
B06,11,AASA
B06,20.7,BARU
B06,15.9,BBPA
B06,39.1,BPTR
B07,13.7,AASA
B08,21.8,AASA
B09,19.5,AASA
B10,11,AASA
B10,10,BARU
B10,25.7,BBPA
C01,14.9,APST
C01,13.8,BABA
C01,10.8,BARU
C01,18.6,BBPA
C01,32.6,BPGR
C01,16.2,BTOC
C02,20.5,AFGR
C02,27.4,APST
C02,12.2,BABA
C02,23.6,BARU
C02,16.8,BBPA
C02,20,BPGR
C03,23.3,APST
C03,11.3,BABA
C03,19.5,BARU
C03,12.3,BBPA
C03,17.5,BPGR
C04,11.2,BABA
C04,13.9,BARU
C04,21.1,BBPA
C04,34.3,BPGR
C05,12.3,AASA
C05,13.3,BARU
C05,12,BBPA
C05,29.6,BPGR
C06,16.3,BABA
C06,12.4,BARU
C06,16.1,BBPA
C06,25.5,BPGR
C07,18.9,AASA
C07,31,BBPA
C08,22.3,AASA
C08,15.3,BARU
C08,24.8,BBPA
C09,10.6,AASA
C09,21.4,BBPA
C10,27.6,AASA
C10,38.1,BBPA
C10,21.4,BPTR
D01,11.5,BABA
D01,10.3,BARU
D01,17.3,BBPA
D01,18.9,BTOC
D02,42.5,APST
D02,11.2,BABA
D02,11.5,BBPA
D02,28.5,BPGR
D03,33.1,APST
D03,13.1,BABA
D03,15.4,BARU
D03,32.8,BBPA
D03,35.6,BPGR
D04,30,APST
D04,14.6,BABA
D04,13.1,BARU
D04,13.2,BBPA
D04,23.4,BPGR
D05,15.3,BARU
D05,25.3,BBPA
D05,30.2,BPGR
D06,18.6,AASA
D06,10.1,BABA
D06,13.6,BARU
D06,12.6,BBPA
D06,20.1,BPGR
D07,27.9,AASA
D07,14.6,AFGR
D07,10.5,BBAL
D07,24.2,BBPA
D07,45.2,BPGR
D08,25.2,AASA
D08,13.4,AFGR
D08,13.5,BBPA
D09,26.5,AASA
D09,11.8,BABA
D09,25.3,BBPA
D10,16.6,AASA
D10,23.2,BBPA
D10,40,BPGR
E01,13.4,BABA
E01,15.4,BBPA
E01,23.3,BPGR
E01,13.5,BTOC
E02,33.5,AASA
E02,15.5,BARU
E02,13,BBPA
E02,27,BPGR
E02,27,BPRU
E03,19.4,BABA
E03,23.4,BARU
E03,15.2,BBPA
E03,21,BPGR
E03,15.8,BTOC
E04,14.5,BARU
E04,16.3,BBPA
E04,50.5,BPGR
E05,10,AASA
E05,15,BABA
E05,10.8,BARU
E05,28.8,BBPA
E05,31.3,BPGR
E05,23.7,BPTR
E06,15,BABA
E06,19.8,BARU
E06,17.3,BBPA
E06,11.5,BPGR
E07,19.4,BARU
E07,23.8,BBPA
E08,10.3,AASA
E08,27.5,AFGR
E08,13.5,BARU
E08,35,BBPA
E08,31,BPGR
E09,17.5,AASA
E09,19.2,AFGR
E09,28.1,BBPA
A01,15.4,APST
A01,12.9,BABA
A01,12.1,BBPA
A01,16.2,BPGR
A01,18.5,BPMA
A01,13,BTOC
A02,13.5,BARU
A02,20.8,BBPA
A02,30,BPGR
A03,45.3,APST
A03,11.6,BABA
A03,17.7,BARU
A03,13.1,BBPA
A03,14.3,BPGR
A04,11,BABA
A04,12.8,BARU
A04,20.7,BBAL
A04,21.1,BBPA
A04,20.7,BPGR
A05,24,BABA
A05,15,BARU
A05,10.5,BBPA
A05,37,BPGR
A06,20.7,AASA
A06,33.2,APST
A06,18.4,BABA
A06,24.1,BBPA
A06,24.2,BPGR
A07,12.4,AASA
A07,19.8,BBPA
A08,18.3,AASA
A08,11.3,BABA
A08,16.2,BARU
A08,33.1,BBPA
A08,30.3,BPGR
A09,18.9,AASA
A09,13.6,BBPA
A10,19.1,AASA
B00,15.9,APST
B00,11,BARU
B00,17,BBPA
B00,14,BPGR
B00,13.3,BPMA
B00,16.7,BTOC
B01,15,BABA
B01,21.2,BBPA
B01,18.5,BTOC
B02,10.3,BABA
B02,15.1,BARU
B02,21.6,BBPA
B02,21.7,BTOC
B03,24.9,APST
B03,13.2,BBPA
B03,35.7,BPGR
B03,10.5,BPTR
B04,12.8,AASA
B04,15.2,BARU
B04,14.9,BBPA
B05,17.8,AASA
B05,10.3,AFGR
B05,22.4,BBPA
B06,16,AASA
B06,15.6,BARU
B06,19.7,BBPA
B07,21,AASA
B08,11.1,AASA
B09,14.8,AASA
B10,14.7,AASA
B10,27.2,BBPA
C01,23.1,APST
C01,13.6,BABA
C01,10.2,BARU
C01,11.5,BBPA
C01,15.3,BPGR
